"Team","Season","Games","ShtFShots For","ShtAShots Against","GFGoals For (Own goals excluded.)","GAGoals Against (Own goals excluded.)","GDGoal Difference (Own goals excluded.)","xGFxGoals For (Own goals excluded.)","xGAxGoals Against (Own goals excluded.)","xGDxGoal Difference (Own goals excluded.)","GD-xGD","Pts","xPtsExpected points earned, given the same sample of shots over 1,000 simulations."
"NYRB","2013","34","28","28","5","2","3","3.8918","3.2009","0.6908","2.3092","59","46.82"
"SKC","2013","34","49","34","3","4","-1","4.6165","4.1055","0.511","-1.511","58","54.634"
"POR","2013","34","21","38","5","6","-1","3.4249","5.2098","-1.7849","0.7849","57","51.638"
"RSL","2013","34","36","27","6","5","1","5.0269","3.9328","1.094","-0.094","56","46.071"
"LAG","2013","34","20","16","3","6","-3","3.2107","2.3077","0.9031","-3.9031","53","62.019"
"SEA","2013","34","31","39","5","4","1","3.1372","4.108","-0.9707","1.9707","52","51.344"
"COL","2013","34","26","32","3","2","1","2.9198","2.2597","0.6601","0.3399","51","48.015"
"NER","2013","34","20","23","2","1","1","2.3866","2.6307","-0.244","1.244","51","50.937"
"SJE","2013","34","37","26","4","2","2","4.9695","2.7718","2.1977","-0.1977","51","48.875"
"HOU","2013","34","30","24","3","2","1","3.4516","1.8346","1.617","-0.617","51","48.842"
"CHI","2013","34","31","29","3","6","-3","2.9806","4.6708","-1.6902","-1.3097","49","47.151"
"MTL","2013","34","18","33","4","4","0","1.376","2.8734","-1.4974","1.4974","49","47.145"
"VAN","2013","34","18","23","1","2","-1","1.5899","3.9057","-2.3158","1.3158","48","43.705"
"PHI","2013","34","19","27","4","6","-2","3.0357","3.9345","-0.8987","-1.1013","46","48.193"
"FCD","2013","34","39","25","12","2","10","6.0239","2.6441","3.3797","6.6203","44","47.953"
"CLB","2013","34","38","33","4","5","-1","2.3963","2.5087","-0.1124","-0.8876","41","47.14"
"TOR","2013","34","27","32","5","3","2","3.2029","2.1304","1.0724","0.9276","29","36.754"
"CHV","2013","34","29","31","1","5","-4","2.0676","3.8792","-1.8116","-2.1884","26","27.608"
"DCU","2013","34","26","23","1","7","-6","2.2197","3.0197","-0.8","-5.2","16","31.241"
"SEA","2014","34","39","27","6","1","5","3.8571","2.0694","1.7877","3.2123","64","54.581"
"LAG","2014","34","22","16","2","2","0","1.6619","1.2262","0.4357","-0.4357","61","65.171"
"DCU","2014","34","22","19","3","0","3","2.1281","1.1685","0.9596","2.0404","59","40.791"
"RSL","2014","34","31","32","4","5","-1","3.4936","3.0372","0.4564","-1.4564","56","43.275"
"NER","2014","34","27","28","5","3","2","3.2247","2.9232","0.3014","1.6986","55","46.624"
"FCD","2014","34","28","31","7","1","6","3.3507","2.159","1.1917","4.8083","54","50.416"
"CLB","2014","34","17","22","0","4","-4","1.3658","3.1938","-1.8281","-2.1719","52","52.172"
"VAN","2014","34","17","34","1","2","-1","1.7373","2.778","-1.0406","0.0406","50","51.104"
"NYRB","2014","34","27","21","2","3","-1","2.8675","2.3429","0.5246","-1.5246","50","47.906"
"SKC","2014","34","28","26","3","4","-1","2.2304","3.2346","-1.0042","0.0042","49","51.672"
"POR","2014","34","22","34","1","3","-2","3.0091","4.226","-1.2169","-0.7831","49","44.73"
"PHI","2014","34","20","26","2","5","-3","1.9994","2.8277","-0.8282","-2.1718","42","50.258"
"TOR","2014","34","35","29","3","1","2","4.3707","2.986","1.3847","0.6153","41","50.172"
"HOU","2014","34","16","26","5","3","2","1.9676","3.5101","-1.5424","3.5424","39","39.63"
"CHI","2014","34","26","19","2","3","-1","2.4254","2.0649","0.3605","-1.3605","36","41.7"
"CHV","2014","34","25","32","0","5","-5","2.3485","4.0635","-1.715","-3.285","33","36.492"
"COL","2014","34","28","17","2","3","-1","3.1172","2.0253","1.0919","-2.0919","32","45.289"
"SJE","2014","34","45","26","4","2","2","4.3347","3.0164","1.3183","0.6817","30","34.864"
"MTL","2014","34","13","23","0","2","-2","0.9767","1.6137","-0.637","-1.363","28","43.01"
"NYRB","2015","34","32","26","4","2","2","3.744","1.9402","1.8038","0.1962","60","60.649"
"FCD","2015","34","28","20","1","2","-1","2.7681","3.0422","-0.2741","-0.7259","60","47.088"
"CLB","2015","34","12","20","2","2","0","1.2448","2.2713","-1.0265","1.0265","53","48.644"
"POR","2015","34","31","24","3","2","1","2.5547","2.895","-0.3403","1.3403","53","54.027"
"VAN","2015","34","35","22","4","1","3","3.2084","1.9844","1.224","1.776","53","49.96"
"SKC","2015","34","27","33","5","5","0","3.7359","3.2534","0.4825","-0.4825","51","48.65"
"MTL","2015","34","15","19","3","1","2","1.3222","1.9122","-0.5899","2.5899","51","45.265"
"SEA","2015","34","24","29","2","4","-2","2.7578","2.6914","0.0664","-2.0664","51","49.385"
"LAG","2015","34","16","29","4","1","3","1.7542","2.6486","-0.8943","3.8943","51","47.366"
"DCU","2015","34","30","24","4","5","-1","3.2181","2.8427","0.3754","-1.3754","51","41.859"
"NER","2015","34","24","26","5","3","2","3.4569","2.9613","0.4956","1.5044","50","46.011"
"TOR","2015","34","23","23","1","6","-5","2.7916","2.8166","-0.025","-4.975","49","52.353"
"SJE","2015","34","45","43","5","7","-2","5.4605","4.2393","1.2212","-3.2212","47","49.848"
"ORL","2015","34","19","21","3","4","-1","2.6301","2.6048","0.0253","-1.0253","44","44.2"
"HOU","2015","34","29","15","4","3","1","2.9519","1.6271","1.3248","-0.3248","42","43.562"
"RSL","2015","34","34","37","6","3","3","4.1701","4.3491","-0.179","3.179","41","36.932"
"NYC","2015","34","13","24","1","6","-5","1.3767","2.3614","-0.9847","-4.0153","37","36.2"
"PHI","2015","34","27","19","3","4","-1","2.3113","1.8457","0.4656","-1.4656","37","43.689"
"COL","2015","34","22","30","5","2","3","1.8844","2.4133","-0.5289","3.5289","37","41.75"
"CHI","2015","34","29","31","2","4","-2","2.0117","4.6536","-2.642","0.642","30","45.708"
"FCD","2016","34","38","30","4","4","0","4.8426","4.3989","0.4437","-0.4437","60","54.368"
"COL","2016","34","37","23","3","0","3","3.4525","2.8811","0.5714","2.4286","58","44.299"
"NYRB","2016","34","20","29","5","0","5","3.464","3.0053","0.4587","4.5413","57","51.823"
"NYC","2016","34","26","33","2","6","-4","2.2717","4.843","-2.5712","-1.4287","54","46.682"
"TOR","2016","34","16","20","4","3","1","2.082","1.3598","0.7222","0.2778","53","57.408"
"LAG","2016","34","29","21","3","3","0","4.1762","2.3951","1.7812","-1.7811","52","48.634"
"SEA","2016","34","24","29","1","4","-3","1.9998","3.6444","-1.6447","-1.3553","48","47.069"
"SKC","2016","34","27","27","4","3","1","3.4522","3.8478","-0.3956","1.3956","47","51.371"
"DCU","2016","34","31","33","1","3","-2","2.2446","2.8428","-0.5982","-1.4018","46","50.445"
"RSL","2016","34","31","31","4","5","-1","3.5625","3.6116","-0.049","-0.951","46","42.74"
"MTL","2016","34","17","31","2","3","-1","2.281","2.6396","-0.3587","-0.6413","45","43.127"
"POR","2016","34","27","43","2","3","-1","2.977","3.4971","-0.5201","-0.4799","44","51.147"
"NER","2016","34","33","18","2","1","1","3.0703","1.4716","1.5987","-0.5988","42","42.266"
"PHI","2016","34","36","22","3","3","0","3.514","2.6435","0.8705","-0.8705","42","47.303"
"ORL","2016","34","23","34","2","5","-3","2.4272","4.2378","-1.8106","-1.1894","41","40.308"
"VAN","2016","34","25","21","4","1","3","2.8112","1.7217","1.0894","1.9106","39","39.252"
"SJE","2016","34","31","26","3","6","-3","2.7064","3.5325","-0.8261","-2.1739","38","46.529"
"CLB","2016","34","18","19","3","1","2","2.9292","1.7963","1.1328","0.8672","36","51.479"
"HOU","2016","34","28","26","3","1","2","3.4986","2.6822","0.8164","1.1836","34","38.698"
"CHI","2016","34","16","17","2","2","0","0.8944","1.6053","-0.7109","0.7109","31","41.404"
"TOR","2017","34","20","19","2","3","-1","2.4529","2.037","0.4159","-1.4159","69","54.298"
"NYC","2017","34","34","36","4","2","2","3.8259","3.9005","-0.0746","2.0746","57","54.594"
"CHI","2017","34","24","19","0","2","-2","1.5269","1.4374","0.0895","-2.0895","55","49.653"
"ATL","2017","34","17","31","0","1","-1","1.5135","3.3218","-1.8082","0.8082","55","50.055"
"CLB","2017","34","12","30","4","2","2","1.566","2.2726","-0.7066","2.7066","54","48.481"
"POR","2017","34","20","31","4","3","1","2.5952","3.7741","-1.1788","2.1788","53","54.156"
"SEA","2017","34","21","11","2","1","1","2.1822","0.7294","1.4528","-0.4528","53","55.35"
"VAN","2017","34","38","29","9","0","9","4.3141","2.4962","1.8179","7.1821","52","44.743"
"HOU","2017","34","30","20","3","1","2","3.467","2.2344","1.2326","0.7674","50","51.896"
"NYRB","2017","34","37","25","2","2","0","3.6601","2.217","1.4432","-1.4432","50","50.812"
"SKC","2017","34","28","17","3","4","-1","3.3148","2.4189","0.8959","-1.8959","49","56.033"
"SJE","2017","34","19","17","1","3","-2","1.3902","1.8643","-0.4741","-1.5259","46","46.272"
"FCD","2017","34","20","26","2","4","-2","1.2086","2.5857","-1.3771","-0.6229","46","54.084"
"NER","2017","34","31","29","2","4","-2","3.5316","2.5259","1.0058","-3.0058","45","49.081"
"RSL","2017","34","22","30","2","4","-2","2.4975","3.23","-0.7325","-1.2675","45","47.664"
"PHI","2017","34","28","28","0","3","-3","2.9227","2.6155","0.3072","-3.3072","42","44.42"
"MTL","2017","34","20","33","2","3","-1","1.4599","3.5173","-2.0574","1.0574","39","40.093"
"ORL","2017","34","36","36","5","3","2","4.2203","4.1518","0.0684","1.9316","39","40.268"
"MIN","2017","34","18","25","5","4","1","2.477","3.3084","-0.8315","1.8315","36","30.213"
"COL","2017","34","28","31","2","2","0","2.3597","2.3381","0.0216","-0.0216","33","35.645"
"DCU","2017","34","37","16","3","2","1","3.8746","1.8239","2.0507","-1.0507","32","37.897"
"LAG","2017","34","30","31","2","6","-4","2.7576","4.3183","-1.5608","-2.4392","32","38.313"
"NYRB","2018","34","39","20","7","3","4","6.268","2.3519","3.9161","0.0839","71","59.418"
"ATL","2018","34","27","25","3","3","0","3.6052","2.4343","1.1709","-1.1709","69","64.496"
"SKC","2018","34","27","15","3","2","1","4.632","1.8464","2.7856","-1.7856","62","56.125"
"SEA","2018","34","27","23","0","0","0","2.7806","3.1765","-0.3959","0.3959","59","44.7"
"FCD","2018","34","18","15","3","2","1","1.8108","2.2001","-0.3892","1.3893","57","51.977"
"LAFC","2018","34","31","18","2","4","-2","3.1703","2.3327","0.8376","-2.8376","57","55.185"
"NYC","2018","34","15","19","2","3","-1","1.4765","2.5845","-1.108","0.108","56","54.887"
"POR","2018","34","32","23","5","3","2","3.6586","1.8859","1.7727","0.2273","54","50.427"
"DCU","2018","34","26","19","4","2","2","3.5903","1.8598","1.7305","0.2695","51","44.263"
"CLB","2018","34","37","16","4","2","2","4.1474","2.2425","1.9049","0.0951","51","57.27"
"PHI","2018","34","18","21","2","3","-1","2.1199","1.6344","0.4855","-1.4855","50","50.37"
"RSL","2018","34","12","24","1","4","-3","0.9462","3.4838","-2.5376","-0.4624","49","40.712"
"LAG","2018","34","19","26","2","2","0","1.5988","2.8925","-1.2937","1.2937","48","44.372"
"VAN","2018","34","26","24","3","2","1","3.1481","2.9119","0.2362","0.7638","47","43.835"
"MTL","2018","34","27","33","1","3","-2","2.5478","4.2314","-1.6836","-0.3164","46","45.629"
"NER","2018","34","18","40","4","5","-1","1.6574","4.5338","-2.8764","1.8764","41","40.843"
"HOU","2018","34","22","23","6","4","2","2.2635","2.462","-0.1985","2.1985","38","50.597"
"TOR","2018","34","16","15","1","4","-3","1.7234","2.1244","-0.401","-2.599","36","48.378"
"MIN","2018","34","18","31","1","2","-1","2.6842","4.1813","-1.4971","0.4971","36","40.118"
"CHI","2018","34","18","25","2","1","1","2.7919","2.3509","0.4409","0.5591","32","33.491"
"COL","2018","34","19","21","1","1","0","3.0559","1.9686","1.0872","-1.0872","31","34.651"
"ORL","2018","34","12","26","4","6","-2","1.3929","4.08","-2.687","0.687","28","35.521"
"SJE","2018","34","23","25","3","3","0","2.1106","3.4108","-1.3002","1.3002","21","37.883"
"LAFC","2019","34","24","26","2","3","-1","2.8136","2.5782","0.2354","-1.2354","72","72.643"
"NYC","2019","34","27","33","0","3","-3","1.9589","3.5567","-1.5978","-1.4022","64","53.73"
"ATL","2019","34","12","18","2","0","2","1.3737","2.6326","-1.2589","3.2589","58","54.997"
"SEA","2019","34","20","23","0","3","-3","1.8536","2.4107","-0.557","-2.443","56","45.867"
"PHI","2019","34","26","31","3","2","1","2.0398","3.3348","-1.2949","2.2949","55","53.063"
"RSL","2019","34","18","25","2","0","2","1.503","2.9282","-1.4253","3.4253","53","45.431"
"MIN","2019","34","12","23","3","2","1","2.1889","1.8354","0.3536","0.6464","53","52.384"
"LAG","2019","34","23","13","1","3","-2","3.0118","0.7706","2.2412","-4.2412","51","47.212"
"DCU","2019","34","52","32","6","1","5","7.1956","3.9752","3.2203","1.7797","50","39.772"
"TOR","2019","34","15","16","2","1","1","1.7906","1.9638","-0.1732","1.1732","50","46.818"
"POR","2019","34","27","30","6","2","4","3.507","2.7653","0.7417","3.2583","49","46.228"
"FCD","2019","34","12","25","0","2","-2","0.8907","2.8079","-1.9172","-0.0829","48","48.505"
"NYRB","2019","34","37","33","4","3","1","3.755","3.2859","0.4691","0.5309","48","45.776"
"NER","2019","34","31","24","2","6","-4","4.1947","3.9017","0.2929","-4.2929","45","41.166"
"SJE","2019","34","27","32","3","4","-1","2.3711","3.6881","-1.317","0.317","44","51.094"
"COL","2019","34","39","19","3","2","1","3.3844","2.3877","0.9967","0.0033","42","40.895"
"CHI","2019","34","29","25","5","1","4","4.3328","2.2004","2.1324","1.8676","42","53.693"
"MTL","2019","34","26","21","1","5","-4","4.3865","2.351","2.0355","-6.0355","41","44.923"
"HOU","2019","34","17","27","0","1","-1","1.8449","2.7295","-0.8846","-0.1154","40","48.02"
"SKC","2019","34","26","23","1","3","-2","2.5776","3.0673","-0.4897","-1.5103","38","48.327"
"CLB","2019","34","17","22","2","2","0","2.1167","2.6801","-0.5634","0.5634","38","43.172"
"ORL","2019","34","18","26","3","2","1","1.8048","3.281","-1.4763","2.4763","37","47.442"
"VAN","2019","34","17","17","3","0","3","2.0013","1.1826","0.8187","2.1813","34","30.511"
"CIN","2019","34","32","20","1","4","-3","3.3003","3.8825","-0.5822","-2.4178","24","29.706"
"SKC","2020","2","3","2","2","0","2","0.6015","0.0625","0.5391","1.4609","6","2.932"
"ATL","2020","2","1","1","0","1","-1","0.1183","0.2405","-0.1222","-0.8778","6","2.949"
"MIN","2020","2","1","0","1","0","1","0.145","0","0.145","0.855","6","2.85"
"COL","2020","2","3","3","0","0","0","0.1991","0.2596","-0.0604","0.0604","6","3.039"
"NYRB","2020","2","1","4","0","0","0","0.0264","0.3666","-0.3402","0.3402","4","1.744"
"TOR","2020","2","2","0","0","0","0","0.4583","0","0.4583","-0.4583","4","4.773"
"SEA","2020","2","1","0","0","0","0","0.0528","0","0.0528","-0.0528","4","4.832"
"CLB","2020","2","0","2","0","0","0","0","0.0783","-0.0783","0.0783","4","3.04"
"LAFC","2020","2","2","3","0","0","0","0.419","0.4253","-0.0063","0.0063","4","3.719"
"MTL","2020","2","0","3","0","0","0","0","0.209","-0.209","0.209","4","1.966"
"FCD","2020","2","1","0","0","0","0","0.1171","0","0.1171","-0.1171","4","3.63"
"DCU","2020","2","3","5","1","0","1","0.2974","0.5274","-0.2299","1.2299","3","2.101"
"VAN","2020","2","2","2","0","1","-1","0.069","0.2564","-0.1873","-0.8127","3","4.495"
"POR","2020","2","1","0","0","0","0","0.0556","0","0.0556","-0.0556","3","2.059"
"RSL","2020","2","4","0","0","0","0","0.3666","0","0.3666","-0.3666","2","3.451"
"HOU","2020","2","1","3","0","1","-1","0.0287","0.6484","-0.6197","-0.3803","1","1.387"
"LAG","2020","2","2","1","0","0","0","0.3032","0.0353","0.2679","-0.2679","1","2.32"
"ORL","2020","2","1","1","0","0","0","0.0534","0.0427","0.0107","-0.0107","1","3.142"
"SJE","2020","2","0","1","0","1","-1","0","0.145","-0.145","-0.855","1","1.661"
"PHI","2020","2","2","1","0","0","0","0.378","0.1368","0.2412","-0.2412","1","1.95"
"NER","2020","2","2","0","0","0","0","0.0919","0","0.0919","-0.0919","1","3.504"
"CHI","2020","2","0","0","0","0","0","0","0","0","0","1","0.733"
"CIN","2020","2","0","1","0","0","0","0","0.0264","-0.0264","0.0264","0","1.752"
"NYC","2020","2","1","2","0","0","0","0.0254","0.4583","-0.4329","0.4329","0","0.816"
"NSH","2020","2","1","2","1","0","1","0.2405","0.1739","0.0666","0.9334","0","3.89"
"MIA","2020","2","4","2","0","1","-1","0.4182","0.3735","0.0447","-1.0447","0","3.142"